x('Total Revenue', '184,903,000', '168,088,000', '143,015,000', '125,843,000', '110,360,000')
         605401 function calls (588135 primitive calls) in 1.184 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
      227    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:424(_get_cached)
      384    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
     2485    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
      550    0.000    0.000    0.001    0.000 enum.py:631(__new__)
      183    0.000    0.000    0.032    0.000 sre_compile.py:598(_code)
       74    0.000    0.000    0.000    0.000 _make.py:2705(<dictcomp>)
      802    0.000    0.000    0.000    0.000 typing.py:329(__hash__)
      419    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:376(cached)
    40/16    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      313    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
       35    0.000    0.000    0.019    0.001 _make.py:1511(wrap)
       35    0.000    0.000    0.000    0.000 _make.py:2290(_attrs_to_init_script)
      183    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      254    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      432    0.000    0.000    0.000    0.000 __init__.py:492(string_container)
       69    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      293    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      136    0.000    0.000    0.009    0.000 _make.py:328(_make_method)
      745    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.133    0.066 client.py:1(<module>)
      418    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
       74    0.000    0.000    0.000    0.000 _make.py:124(attrib)
      175    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       82    0.000    0.000    0.001    0.000 typing.py:187(_subs_tvars)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       52    0.000    0.000    0.031    0.001 selector_events.py:844(_read_ready__data_received)
     1346    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
       82    0.000    0.000    0.002    0.000 typing.py:677(__getitem__)
      434    0.000    0.000    0.000    0.000 _htmlparser.py:189(handle_data)
      113    0.000    0.000    0.127    0.001 events.py:79(_run)
     1406    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      202    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
      149    0.000    0.000    0.002    0.000 typing.py:689(copy_with)
      249    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:342(__init__)
      255    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:147(__enter__)
       34    0.000    0.000    0.000    0.000 _make.py:818(<dictcomp>)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
      716    0.000    0.000    0.000    0.000 element.py:1456(get)
     1406    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      101    0.000    0.000    0.000    0.000 _make.py:2640(__init__)
   170/83    0.000    0.000    0.174    0.002 <frozen importlib._bootstrap>:1017(_handle_fromlist)
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:867(__exit__)
      777    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:456(_check_name_wrapper)
       28    0.000    0.000    0.004    0.000 _make.py:1890(_make_repr)
     1760    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      246    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      172    0.000    0.000    0.001    0.000 {built-in method builtins.eval}
       36    0.000    0.000    0.002    0.000 _make.py:1674(_make_hash)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
     1402    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       82    0.000    0.000    0.001    0.000 streams.py:289(_wait)
      960    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      741    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:863(__enter__)
      192    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       82    0.000    0.000    0.000    0.000 selector_events.py:586(_process_events)
      418    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
       67    0.000    0.000    0.002    0.000 typing.py:818(__getitem_inner__)
     1359    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
       35    0.000    0.000    0.003    0.000 _make.py:2113(_make_init)
      729    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      308    0.000    0.000    0.000    0.000 {built-in method builtins.any}
       37    0.000    0.000    0.002    0.000 _make.py:1767(_make_eq)
      562    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:36(_relax_case)
